year,variable,land_class,value
2016,acres,Fallow,8027.50185322461
2016,abvgc,Fallow,0
2016,soilc,Fallow,28313.669268
2016,noemit,Fallow,18.450114215484735
2016,acres,Fodder,6844.403261675315
2016,abvgc,Fodder,4464.9488742739195
2016,soilc,Fodder,61130.261079
2016,noemit,Fodder,593.2423363407522
2016,acres,Greenhouse,1937.2127501853224
2016,abvgc,Greenhouse,0
2016,soilc,Greenhouse,19398.359709
2016,noemit,Greenhouse,77.99719170801139
2016,acres,Orchard,16878.280207561158
2016,abvgc,Orchard,115610.32799999998
2016,soilc,Orchard,224186.049171
2016,noemit,Orchard,3369.0358874620647
2016,acres,Pastureland,2541.2157153446997
2016,abvgc,Pastureland,3115.9747640361597
2016,soilc,Pastureland,48735.97324200001
2016,noemit,Pastureland,228.75953170045364
2016,acres,Row Crop,80597.47961452928
2016,abvgc,Row Crop,62001.36244696331
2016,soilc,Row Crop,1055421.5305409997
2016,noemit,Row Crop,32067.348282054223
2016,acres,Vineyard,30613.120830244625
2016,abvgc,Vineyard,34147.41299999996
2016,soilc,Vineyard,483679.28844900004
2016,noemit,Vineyard,1901.2008481284254
2019,acres,Fallow,7465.307635285397
2019,abvgc,Fallow,0
2019,soilc,Fallow,93492.839142
2019,noemit,Fallow,0
2019,acres,Fodder,5090.437361008154
2019,abvgc,Fodder,6241.766198371198
2019,soilc,Fodder,93081.450915
2019,noemit,Fodder,553.9216532527123
2019,acres,Greenhouse,1691.9199406968125
2019,abvgc,Greenhouse,0
2019,soilc,Greenhouse,15571.767708
2019,noemit,Greenhouse,0
2019,acres,Orchard,13633.654558932543
2019,abvgc,Orchard,114213.07799999998
2019,soilc,Orchard,228282.135534
2019,noemit,Orchard,3243.592313332583
2019,acres,Pastureland,1725.9451445515197
2019,abvgc,Pastureland,2116.3105052668798
2019,soilc,Pastureland,33169.246047
2019,noemit,Pastureland,187.81065753142417
2019,acres,Row Crop,62610.15567086731
2019,abvgc,Row Crop,51180.66492473668
2019,soilc,Row Crop,914318.3963699996
2019,noemit,Row Crop,24135.718277978543
2019,acres,Vineyard,31674.79614529281
2019,abvgc,Vineyard,37174.49099999994
2019,soilc,Vineyard,511507.09494900005
2019,noemit,Vineyard,1873.222002071272
2012,acres,Rangeland,584125
2012,abvgc,Rangeland,8638987.870762646
2012,soilc,Rangeland,6155929.084182152
2012,noemit,Rangeland,0
2016,acres,Rangeland,586047
2016,abvgc,Rangeland,8667413.523983456
2016,soilc,Rangeland,6176184.501601023
2016,noemit,Rangeland,0
2019,acres,Rangeland,573678
2019,abvgc,Rangeland,8484480.69115921
2019,soilc,Rangeland,6045831.089502159
2019,noemit,Rangeland,0
2012,abvgc,Total (all classes),8841905.451456998
2016,abvgc,Total (all classes),8886753.551068729
2019,abvgc,Total (all classes),8695407.001787584
2012,acres,Total (all classes),705654.799851742
2016,acres,Total (all classes),733486.214232765
2019,acres,Total (all classes),697570.2164566346
2012,noemit,Total (all classes),33542.28397053672
2016,noemit,Total (all classes),38256.03419160942
2019,noemit,Total (all classes),29994.264904166535
2012,soilc,Total (all classes),7944937.773405151
2016,soilc,Total (all classes),8097049.633060022
2019,soilc,Total (all classes),7935254.020167158
2012,total_stock,Fallow,18845.719407
2012,total_stock,Fodder,45848.93327437824
2012,total_stock,Greenhouse,13797.656613
2012,total_stock,Orchard,305947.506717
2012,total_stock,Pastureland,70697.62096388065
2012,total_stock,Rangeland,14794916.954944797
2012,total_stock,Row Crop,1069627.1087910929
2012,total_stock,Total (all classes),16786843.22486215
2012,total_stock,Vineyard,467161.724151
2016,total_stock,Fallow,28313.669268
2016,total_stock,Fodder,65595.20995327392
2016,total_stock,Greenhouse,19398.359709
2016,total_stock,Orchard,339796.377171
2016,total_stock,Pastureland,51851.94800603617
2016,total_stock,Rangeland,14843598.025584478
2016,total_stock,Row Crop,1117422.892987963
2016,total_stock,Total (all classes),16983803.18412875
2016,total_stock,Vineyard,517826.701449
2019,total_stock,Fallow,93492.839142
2019,total_stock,Fodder,99323.2171133712
2019,total_stock,Greenhouse,15571.767708
2019,total_stock,Orchard,342495.213534
2019,total_stock,Pastureland,35285.55655226688
2019,total_stock,Rangeland,14530311.780661367
2019,total_stock,Row Crop,965499.0612947363
2019,total_stock,Total (all classes),16630661.021954741
2019,total_stock,Vineyard,548681.585949
